Edge,Count
"(910, 31043)",0
"(910, 340075)",0
"(910, 340078)",33
"(910, 35905)",0
"(910, 42847)",19
"(910, 436796)",0
"(910, 48550)",23
"(910, 5462)",109
"(910, 576257)",0
"(910, 58552)",0
"(910, 5869)",53
"(910, 636511)",0
"(910, 67292)",60
"(910, 675649)",10
"(910, 684372)",0
"(910, 94953)",0
"(910, 25702)",5
"(910, 77758)",0
"(1104379, 13885)",115
"(1104379, 42847)",87
"(1104379, 42848)",0
"(1105530, 67292)",60
"(1108834, 3229)",0
"(1108834, 4330)",0
"(1108834, 25702)",5
"(1108834, 139738)",0
"(1110520, 5869)",94
"(1114118, 119712)",0
"(1116569, 203646)",0
"(1118848, 25702)",91
"(1120858, 2696)",130
"(1120858, 5348)",48
"(1122460, 245288)",0
"(1126044, 16471)",0
"(1126044, 19621)",0
"(1126044, 194223)",0
"(1126044, 523010)",0
"(1129111, 5462)",110
"(1135137, 1365)",17
"(1135137, 19621)",15
"(1152194, 24966)",4
"(12439, 105057)",85
"(12439, 323128)",60
"(12439, 340078)",50
"(12439, 22563)",10
"(12439, 36140)",61
"(12946, 4330)",0
"(131042, 24966)",0
"(131042, 24974)",105
"(131042, 40125)",88
"(13136, 1118083)",58
"(13136, 160705)",94
"(160705, 2696)",34
"(227286, 5462)",114
"(227286, 31489)",0
"(227286, 48550)",54
"(227286, 1115790)",0
"(242637, 12359)",0
"(242637, 202639)",1
"(242637, 1113541)",0
"(31043, 13885)",27
"(31043, 34961)",0
"(340075, 1365)",36
"(340075, 90888)",40
"(340078, 928873)",0
"(340078, 949217)",0
"(35905, 29723)",0
"(35905, 1152162)",46
"(35905, 1152272)",41
"(35905, 1152904)",40
"(42847, 13885)",47
"(42847, 19621)",16
"(42847, 123825)",21
"(436796, 1365)",0
"(48550, 3229)",0
"(48550, 133563)",95
"(48550, 48555)",75
"(48550, 289945)",0
"(5462, 119956)",0
"(576257, 23116)",0
"(58552, 1113828)",90
"(58552, 248395)",80
"(5869, 2696)",12
"(636511, 32276)",80
"(636511, 174418)",115
"(636511, 174425)",85
"(675649, 25702)",47
"(675649, 240321)",1
"(675649, 1132505)",119
"(675649, 675756)",40
"(684372, 19621)",1
"(684372, 684531)",0
"(936, 1107010)",55
"(936, 1111899)",87
"(936, 129558)",24
"(936, 207395)",40
"(936, 3084)",0
"(936, 3828)",119
"(936, 38845)",95
"(1107010, 22386)",89
"(1107010, 38829)",0
"(1107010, 38845)",121
"(1111899, 1952)",0
"(129558, 941)",40
"(207395, 1959)",31
"(207395, 3828)",104
"(207395, 22386)",86
"(3084, 1107171)",0
"(3084, 255233)",73
"(3084, 33303)",86
"(3084, 143323)",7
"(3828, 940)",114
"(3828, 941)",71
"(3828, 943)",61
"(3828, 1152896)",67
"(3828, 310530)",36
"(38845, 22386)",103
"(38845, 1110579)",0
"(38845, 38846)",132
"(38845, 74975)",109
"(940, 20180)",110
"(940, 28265)",128
"(940, 941)",128
"(20180, 941)",143
"(20180, 91853)",0
"(20180, 943)",109
"(28265, 941)",130
"(28265, 1152436)",0
"(28265, 943)",69
"(943, 1152896)",77
"(943, 91852)",3
"(1152896, 1959)",0
"(1152896, 28267)",0
"(91852, 20179)",132
"(91852, 64271)",57
"(91852, 20178)",124
"(91852, 117328)",60
"(1026, 1034)",90
"(1026, 1102550)",0
"(1026, 1105231)",0
"(1026, 1129798)",0
"(1026, 1153945)",65
"(1034, 1153945)",80
"(1034, 1035)",43
"(1102550, 4584)",0
"(1102550, 94641)",0
"(1102550, 251756)",0
"(1105231, 61312)",0
"(1107062, 1035)",40
"(1107062, 61069)",6
"(1035, 1110515)",0
"(1035, 35852)",5
"(1035, 45605)",2
"(1110515, 177993)",0
"(1110515, 177998)",0
"(1213, 1154525)",100
"(1213, 409725)",85
"(1213, 8766)",65
"(1213, 8594)",74
"(1154525, 8591)",114
"(1154525, 8594)",103
"(409725, 8766)",85
"(1237, 102938)",125
"(1237, 1102400)",0
"(1237, 143676)",100
"(102938, 143676)",115
"(102938, 102939)",100
"(1102400, 1246)",0
"(1102400, 152226)",1
"(143676, 102939)",85
"(1246, 1104007)",0
"(1246, 42207)",0
"(1246, 57764)",0
"(1246, 6125)",0
"(1104007, 12350)",23
"(1104007, 15429)",43
"(1104007, 34979)",0
"(42207, 20601)",152
"(42207, 20602)",107
"(42207, 219239)",30
"(42207, 95225)",90
"(57764, 12337)",0
"(57764, 36140)",86
"(57764, 46500)",60
"(57764, 46501)",0
"(57764, 711527)",0
"(6125, 2653)",17
"(6125, 1107572)",0
"(6125, 12211)",11
"(6125, 27612)",47
"(6125, 28641)",75
"(6125, 385251)",0
"(6125, 12210)",17
"(6125, 12350)",4
"(6125, 59626)",2
"(1272, 1102625)",0
"(1272, 1108167)",0
"(1272, 1120962)",0
"(1272, 112378)",0
"(1272, 1123867)",0
"(1272, 1128256)",0
"(1272, 1129208)",0
"(1272, 1135358)",0
"(1272, 157805)",0
"(1272, 18615)",0
"(1272, 192734)",0
"(1272, 20593)",0
"(1272, 27230)",0
"(1272, 284414)",0
"(1272, 30895)",0
"(1272, 30901)",26
"(1272, 444240)",31
"(1272, 520471)",0
"(1272, 52835)",0
"(1272, 552469)",0
"(1272, 560936)",0
"(1272, 591016)",0
"(1272, 636098)",0
"(1272, 65653)",0
"(1272, 6917)",0
"(1272, 6923)",0
"(1272, 85452)",0
"(1272, 85688)",5
"(1272, 93923)",17
"(1272, 97892)",15
"(1272, 4584)",0
"(1272, 13686)",0
"(1102625, 5959)",0
"(1102625, 5966)",0
"(1108167, 20601)",139
"(1108167, 20602)",36
"(1108167, 25805)",110
"(1108167, 124734)",137
"(1120962, 22563)",0
"(1120962, 32083)",0
"(112378, 10435)",0
"(112378, 27895)",0
"(112378, 36140)",0
"(112378, 40886)",145
"(112378, 1121459)",86
"(112378, 1131728)",105
"(112378, 141868)",125
"(112378, 145215)",110
"(112378, 654177)",147
"(1123867, 10169)",9
"(1128256, 11337)",0
"(1129208, 6378)",12
"(157805, 12350)",60
"(157805, 6539)",93
"(18615, 2440)",45
"(18615, 4660)",93
"(18615, 6935)",41
"(18615, 1000012)",79
"(18615, 582343)",115
"(18615, 18619)",33
"(192734, 45188)",100
"(192734, 45189)",62
"(20593, 20584)",60
"(20593, 20592)",90
"(27230, 2440)",37
"(27230, 23546)",65
"(27230, 23545)",0
"(284414, 1115456)",0
"(30895, 3243)",21
"(30895, 8224)",0
"(30895, 1152277)",70
"(30895, 1152673)",78
"(30895, 1154251)",88
"(30895, 144679)",0
"(30895, 30901)",61
"(30895, 59798)",179
"(30901, 3243)",113
"(30901, 11339)",0
"(30901, 368431)",68
"(444240, 6334)",0
"(520471, 1125953)",0
"(52835, 39127)",2
"(52835, 1115471)",14
"(552469, 10169)",3
"(560936, 1365)",27
"(560936, 6784)",44
"(560936, 562123)",105
"(560936, 91581)",0
"(591016, 2440)",39
"(591016, 1128856)",150
"(591016, 591017)",85
"(636098, 3231)",10
"(636098, 10169)",23
"(65653, 3217)",0
"(65653, 3235)",0
"(65653, 6771)",0
"(65653, 8224)",0
"(65653, 1105450)",0
"(65653, 1112319)",5
"(6917, 2440)",0
"(6917, 4649)",130
"(6917, 1153811)",0
"(6917, 449841)",103
"(6917, 135765)",130
"(6917, 135766)",150
"(6923, 2440)",31
"(6923, 1155073)",90
"(6923, 187354)",0
"(6923, 20857)",94
"(6923, 308003)",0
"(6923, 6941)",62
"(6923, 93923)",130
"(6923, 72908)",133
"(85452, 10169)",2
"(85452, 1120169)",16
"(85452, 1152290)",32
"(85688, 6539)",0
"(85688, 75121)",0
"(85688, 8224)",0
"(85688, 8703)",0
"(85688, 97892)",30
"(93923, 72908)",65
"(93923, 6941)",79
"(97892, 10798)",0
"(1365, 1031453)",0
"(1365, 1102407)",0
"(1365, 1105062)",0
"(1365, 1106287)",19
"(1365, 1108050)",0
"(1365, 1110494)",0
"(1365, 1110998)",39
"(1365, 1113995)",0
"(1365, 1114153)",67
"(1365, 1114388)",0
"(1365, 1114605)",60
"(1365, 1116347)",0
"(1365, 1116594)",0
"(1365, 1117653)",0
"(1365, 1119140)",0
"(1365, 1120211)",0
"(1365, 1120866)",0
"(1365, 1128839)",0
"(1365, 1129443)",0
"(1365, 1130600)",48
"(1365, 1131647)",2
"(1365, 1131745)",85
"(1365, 1131748)",7
"(1365, 1132922)",0
"(1365, 1132968)",0
"(1365, 1135368)",0
"(1365, 1136422)",0
"(1365, 1136442)",0
"(1365, 1152143)",0
"(1365, 1152821)",0
"(1365, 1154169)",9
"(1365, 120084)",0
"(1365, 139865)",0
"(1365, 157401)",0
"(1365, 171225)",50
"(1365, 184918)",97
"(1365, 188318)",73
"(1365, 188471)",36
"(1365, 22835)",83
"(1365, 23448)",15
"(1365, 23502)",49
"(1365, 23507)",4
"(1365, 237521)",0
"(1365, 26850)",90
"(1365, 330148)",95
"(1365, 340299)",0
"(1365, 39904)",95
"(1365, 49482)",8
"(1365, 562123)",105
"(1365, 628500)",25
"(1365, 648232)",0
"(1365, 649731)",25
"(1365, 69392)",0
"(1365, 7276)",26
"(1365, 7297)",7
"(1365, 77758)",2
"(1365, 782486)",0
"(1365, 83826)",41
"(1365, 85299)",0
"(1365, 853150)",0
"(1365, 90888)",7
"(1365, 93555)",0
"(1365, 948299)",25
"(1365, 948846)",0
"(1365, 949318)",0
"(1365, 949511)",6
"(1365, 950052)",57
"(1365, 950305)",0
"(1031453, 4584)",0
"(1106287, 19621)",28
"(1106287, 83826)",73
"(1106287, 83847)",0
"(1108050, 2696)",65
"(1108050, 5348)",121
"(1110998, 35797)",31
"(1110998, 188318)",140
"(1113995, 32083)",0
"(1114153, 19621)",37
"(1114388, 260979)",35
"(1114605, 26850)",85
"(1116347, 4584)",4
"(1116347, 6216)",9
"(1116347, 28249)",25
"(1116594, 42156)",50
"(1117653, 335042)",1
"(1119140, 37541)",14
"(1120211, 30817)",0
"(1128839, 3229)",1
"(1128839, 4584)",0
"(1130600, 4584)",19
"(1130600, 628500)",135
"(1131647, 3229)",4
"(1131745, 77758)",55
"(1131748, 3229)",2
"(1132968, 2665)",20
"(1132968, 5348)",1
"(1132968, 8581)",58
"(1132968, 205192)",62
"(1136422, 6184)",0
"(1152143, 13213)",0
"(1152143, 27514)",46
"(1154169, 3229)",7
"(120084, 1140543)",70
"(120084, 135464)",29
"(120084, 255628)",109
"(120084, 264556)",0
"(139865, 1108841)",0
"(139865, 1110563)",89
"(139865, 179180)",65
"(157401, 3229)",0
"(157401, 1118017)",0
"(171225, 184918)",110
"(184918, 19621)",36
"(184918, 23502)",80
"(184918, 330148)",125
"(188318, 35797)",70
"(188471, 4584)",14
"(188471, 628500)",195
"(22835, 1110563)",60
"(22835, 39904)",55
"(23448, 19621)",67
"(23448, 123825)",79
"(23502, 3229)",0
"(23502, 23507)",34
"(23502, 330148)",133
"(23507, 10981)",0
"(23507, 1109392)",91
"(23507, 13717)",0
"(23507, 152731)",65
"(23507, 217852)",0
"(23507, 649731)",23
"(23507, 93320)",0
"(237521, 2665)",0
"(330148, 19621)",83
"(340299, 42156)",33
"(340299, 74427)",0
"(49482, 3229)",0
"(49482, 19621)",28
"(49482, 1112369)",50
"(49482, 217984)",70
"(49482, 631052)",28
"(49482, 7297)",82
"(562123, 6784)",118
"(628500, 4584)",30
"(648232, 567005)",0
"(649731, 1131464)",81
"(649731, 123825)",75
"(69392, 4330)",25
"(69392, 1132461)",57
"(69392, 240321)",12
"(7276, 7272)",138
"(7276, 763181)",106
"(7276, 7297)",140
"(7276, 19621)",30
"(7297, 7272)",113
"(7297, 763010)",3
"(7297, 763181)",145
"(7297, 19621)",28
"(77758, 1129907)",75
"(77758, 180373)",0
"(77758, 25772)",0
"(77758, 289885)",0
"(77758, 294030)",2
"(77758, 613409)",65
"(782486, 4584)",0
"(782486, 28491)",0
"(83826, 3229)",1
"(83826, 19621)",24
"(90888, 3229)",1
"(90888, 1113934)",0
"(90888, 13885)",0
"(93555, 1152958)",85
"(93555, 119761)",162
"(93555, 143801)",139
"(93555, 284023)",170
"(93555, 284025)",120
"(948299, 3229)",6
"(948299, 19621)",37
"(949511, 3229)",3
"(950052, 19621)",40
"(950305, 739707)",0
"(1481, 1102567)",40
"(1481, 1106052)",0
"(1481, 1108267)",0
"(1481, 1111614)",0
"(1481, 1113934)",0
"(1481, 1114864)",0
"(1481, 1117184)",0
"(1481, 1119295)",0
"(1481, 1120563)",0
"(1481, 1153891)",0
"(1481, 200480)",0
"(1481, 399173)",0
"(1481, 4878)",75
"(1481, 521207)",53
"(1481, 521269)",60
"(1102567, 4878)",80
"(1106052, 18251)",80
"(1108267, 10183)",0
"(1108267, 20924)",1
"(1108267, 28230)",0
"(1108267, 127033)",0
"(1113934, 20924)",5
"(1113934, 22875)",0
"(1114864, 6311)",2
"(1114864, 6767)",0
"(1114864, 14529)",3
"(1117184, 53942)",65
"(1117184, 56167)",95
"(1117184, 261040)",0
"(1119295, 2440)",0
"(1119295, 6318)",0
"(1120563, 5062)",114
"(1120563, 5064)",137
"(1120563, 5069)",110
"(1120563, 5075)",127
"(1153891, 15889)",109
"(1153891, 175909)",120
"(1153891, 221302)",130
"(200480, 3231)",6
"(200480, 6334)",30
"(200480, 6343)",0
"(200480, 6344)",0
"(521207, 5062)",0
"(521207, 20924)",0
"(521207, 55770)",0
"(521207, 521183)",0
"(521207, 521269)",67
"(521269, 1125993)",0
"(152483, 583318)",0
"(1694, 39474)",60
"(647413, 646913)",80
"(1717, 1115291)",0
"(1717, 1116336)",99
"(1717, 1135108)",116
"(1717, 50381)",3
"(1717, 733167)",0
"(1717, 4330)",12
"(1717, 4335)",0
"(1717, 6913)",115
"(1717, 32688)",86
"(1115291, 17242)",130
"(1115291, 137849)",100
"(1115291, 280876)",97
"(1116336, 6913)",61
"(1135108, 4330)",93
"(1135108, 6913)",125
"(50381, 62274)",25
"(50381, 51180)",0
"(733167, 1154276)",0
"(1786, 35797)",0
"(1786, 22563)",0
"(1786, 27895)",4
"(1786, 46547)",11
"(35797, 4330)",0
"(35797, 6784)",99
"(35797, 100961)",110
"(35797, 1116629)",102
"(35797, 1128974)",0
"(35797, 399370)",124
"(35797, 60169)",87
"(35797, 60170)",82
"(35797, 627024)",0
"(35797, 36140)",0
"(1817, 1114502)",0
"(1114502, 5966)",0
"(1114502, 190698)",0
"(1114502, 227178)",0
"(1919, 1108389)",84
"(1919, 35778)",125
"(1108389, 35778)",72
"(1108389, 36802)",65
"(1108389, 37888)",110
"(1108389, 73146)",85
"(1949, 129042)",0
"(1949, 3101)",75
"(1949, 1952)",110
"(1949, 1953)",0
"(1949, 3097)",120
"(1949, 3112)",5
"(129042, 1108363)",76
"(129042, 1121313)",54
"(129042, 129045)",135
"(3101, 1952)",108
"(3101, 3097)",110
"(3101, 110162)",96
"(3101, 110163)",151
"(3101, 110164)",127
"(3101, 70441)",2
"(1951, 3095)",0
"(3095, 110162)",106
"(3095, 110163)",78
"(3095, 218682)",119
"(3095, 83449)",55
"(3095, 10430)",0
"(1952, 1107215)",7
"(1952, 3097)",120
"(1107215, 70442)",83
"(1107215, 70444)",111
"(1953, 1153166)",80
"(1953, 1153724)",40
"(1953, 1153728)",58
"(1153166, 73327)",74
"(1153724, 73327)",89
"(1153728, 1959)",97
"(1153728, 73327)",124
"(1153728, 198866)",85
"(1955, 110163)",0
"(1955, 1110390)",0
"(110163, 3112)",66
"(110163, 110162)",146
"(110163, 110164)",132
"(1110390, 5966)",0
"(1110390, 27246)",0
"(101143, 1959)",0
"(101143, 82666)",44
"(101143, 101145)",0
"(101143, 596075)",0
"(1118302, 263482)",70
"(1153101, 3223)",62
"(1153101, 137359)",70
"(1153150, 3223)",58
"(1153150, 137359)",45
"(263486, 263482)",135
"(263486, 1114512)",109
"(83449, 3085)",0
"(83449, 218682)",110
"(83449, 22869)",11
"(83449, 22874)",116
"(1959, 3097)",76
"(1959, 310530)",126
"(1959, 38839)",91
"(1959, 73327)",75
"(1959, 82664)",111
"(3097, 1106236)",101
"(3097, 129045)",18
"(3097, 82664)",124
"(3097, 82666)",66
"(310530, 22386)",72
"(310530, 38839)",160
"(38839, 22386)",88
"(73327, 64271)",0
"(73327, 1105810)",0
"(73327, 1106236)",21
"(73327, 198866)",83
"(82664, 1106236)",120
"(1997, 1102442)",0
"(1997, 1108551)",12
"(1997, 1109439)",70
"(1997, 1109542)",0
"(1997, 129897)",80
"(1997, 154982)",51
"(1997, 3233)",44
"(1997, 49811)",86
"(1997, 7032)",54
"(1997, 25772)",0
"(1102442, 1999)",0
"(1108551, 2440)",0
"(1109439, 4330)",0
"(1109439, 7032)",117
"(129897, 3187)",6
"(129897, 3191)",0
"(129897, 5055)",5
"(129897, 154982)",98
"(154982, 8079)",76
"(154982, 1121867)",60
"(154982, 1130927)",59
"(154982, 1130931)",52
"(154982, 1130934)",0
"(154982, 1133028)",0
"(3233, 1103737)",5
"(3233, 1114222)",1
"(3233, 1125467)",100
"(3233, 192850)",71
"(3233, 272720)",85
"(3233, 509379)",0
"(3233, 66594)",0
"(3233, 976284)",0
"(3233, 3236)",110
"(3233, 3240)",0
"(3233, 49811)",81
"(49811, 2440)",0
"(49811, 463825)",0
"(7032, 1110438)",32
"(7032, 137873)",21
"(7032, 323128)",0
"(7032, 52847)",0
"(1999, 1123068)",0
"(1999, 1131471)",7
"(1999, 39126)",8
"(1999, 6771)",0
"(1123068, 3232)",0
"(1123068, 6782)",0
"(1123068, 31083)",0
"(1123068, 167670)",0
"(1131471, 3231)",0
"(1131471, 52847)",1
"(39126, 3231)",19
"(39126, 10169)",49
"(39126, 31483)",113
"(39126, 1107067)",70
"(39126, 88356)",0
"(39126, 39165)",55
"(6771, 22563)",0
"(6771, 24974)",0
"(6771, 32083)",0
"(6771, 89547)",0
"(2354, 10186)",76
"(2354, 1107140)",0
"(2354, 1113852)",120
"(2354, 1130539)",6
"(2354, 154134)",5
"(2354, 40151)",0
"(2354, 74749)",130
"(2354, 137790)",175
"(10186, 10174)",0
"(10186, 10183)",0
"(10186, 86840)",0
"(10186, 74749)",120
"(10186, 137790)",110
"(1107140, 17201)",0
"(1113852, 74749)",130
"(1113852, 137790)",140
"(1130539, 9708)",0
"(1130539, 37483)",0
"(1130539, 143323)",5
"(154134, 143323)",100
"(154134, 217139)",60
"(40151, 1104261)",0
"(40151, 1132418)",0
"(40151, 1152307)",49
"(40151, 1152448)",51
"(40151, 1152975)",25
"(40151, 1153703)",55
"(40151, 49660)",0
"(40151, 671293)",0
"(74749, 137790)",135
"(2440, 1000012)",27
"(2440, 1061127)",0
"(2440, 1106388)",30
"(2440, 1107095)",0
"(2440, 1110426)",0
"(2440, 1114512)",0
"(2440, 1117786)",90
"(2440, 1120650)",0
"(2440, 1127619)",0
"(2440, 1153254)",0
"(2440, 136766)",88
"(2440, 136768)",120
"(2440, 151430)",0
"(2440, 212777)",0
"(2440, 23546)",80
"(2440, 49843)",33
"(2440, 49844)",47
"(2440, 49847)",75
"(2440, 582343)",19
"(2440, 591017)",73
"(2440, 63931)",89
"(2440, 72908)",51
"(2440, 37483)",33
"(1000012, 3217)",4
"(1000012, 6935)",79
"(1000012, 178209)",0
"(1106388, 5966)",0
"(1106388, 6935)",7
"(1106388, 49843)",74
"(1106388, 75121)",8
"(1107095, 101660)",40
"(1107095, 101662)",21
"(1110426, 3218)",0
"(1110426, 8224)",5
"(1110426, 22431)",87
"(1114512, 263482)",65
"(1117786, 63931)",71
"(1117786, 187354)",28
"(1120650, 6935)",27
"(1120650, 397590)",0
"(1127619, 562940)",15
"(136766, 9708)",90
"(136766, 63931)",113
"(136766, 348437)",109
"(136766, 136767)",61
"(136766, 136768)",118
"(136768, 9708)",60
"(136768, 63931)",92
"(151430, 101811)",24
"(151430, 1115670)",75
"(212777, 10798)",0
"(212777, 61417)",1
"(49843, 3218)",0
"(49843, 8224)",10
"(49843, 11335)",0
"(49843, 22431)",167
"(49843, 49844)",139
"(49843, 49847)",190
"(49844, 8224)",60
"(49844, 22431)",75
"(49844, 1127851)",0
"(49844, 49847)",135
"(49847, 8224)",94
"(49847, 22431)",165
"(582343, 4660)",85
"(582343, 25794)",0
"(582343, 46452)",15
"(582343, 1128437)",0
"(591017, 6639)",0
"(591017, 75969)",107
"(591017, 1128856)",85
"(63931, 37483)",65
"(63931, 13717)",2
"(63931, 6939)",1
"(72908, 1127863)",47
"(72908, 954315)",48
"(2653, 102406)",0
"(2653, 107177)",85
"(2653, 1104055)",0
"(2653, 1116268)",0
"(2653, 1116842)",0
"(2653, 1118764)",63
"(2653, 1119751)",54
"(2653, 1152075)",0
"(2653, 167656)",0
"(2653, 197783)",1
"(2653, 28641)",74
"(2653, 321861)",2
"(2653, 350362)",1
"(2653, 4660)",0
"(2653, 59045)",0
"(2653, 65650)",11
"(102406, 34708)",0
"(102406, 59626)",10
"(107177, 1119751)",95
"(1104055, 3243)",0
"(1104055, 36140)",0
"(1104055, 36145)",5
"(1116268, 6334)",0
"(1116268, 8617)",99
"(1116268, 27241)",0
"(1116268, 36145)",95
"(1116842, 2654)",0
"(1118764, 12182)",72
"(1118764, 23738)",49
"(1118764, 65650)",112
"(1119751, 5055)",0
"(1119751, 166420)",0
"(1152075, 2654)",12
"(167656, 3222)",9
"(167656, 3223)",12
"(167656, 5055)",0
"(167656, 18773)",0
"(197783, 2654)",7
"(197783, 213279)",0
"(28641, 12182)",56
"(28641, 28640)",113
"(321861, 12182)",0
"(321861, 1117089)",0
"(350362, 3243)",0
"(350362, 45188)",0
"(4660, 429781)",85
"(4660, 5038)",55
"(4660, 12182)",55
"(4660, 18619)",103
"(59045, 27243)",25
"(59045, 1121867)",0
"(65650, 11342)",43
"(65650, 12182)",45
"(65650, 23738)",12
"(65650, 38722)",64
"(65650, 1105450)",0
"(65650, 309476)",98
"(65650, 5038)",110
"(2654, 1104851)",74
"(2654, 1106630)",0
"(2654, 1107861)",9
"(2654, 1110438)",0
"(2654, 1121867)",0
"(2654, 1123926)",0
"(2654, 211906)",0
"(2654, 27250)",0
"(2654, 463825)",0
"(2654, 52784)",69
"(1104851, 5055)",16
"(1104851, 27243)",25
"(1104851, 52784)",70
"(1106630, 27530)",12
"(1106630, 27543)",32
"(1106630, 31055)",0
"(1106630, 70281)",0
"(1107861, 5055)",27
"(1107861, 5966)",0
"(1110438, 4330)",1
"(1110438, 116528)",0
"(1121867, 5055)",23
"(1121867, 8079)",79
"(1123926, 22563)",0
"(27250, 8079)",0
"(27250, 23738)",0
"(27250, 45052)",0
"(463825, 6782)",0
"(463825, 11342)",0
"(52784, 8617)",96
"(52784, 36145)",88
"(2658, 1115375)",101
"(2658, 1130676)",137
"(2658, 1130808)",120
"(2658, 1131607)",124
"(2658, 1132948)",75
"(2658, 1135899)",132
"(2658, 1140230)",75
"(2658, 230884)",187
"(2658, 236759)",160
"(2658, 282700)",68
"(2658, 395540)",113
"(2658, 578347)",128
"(2658, 696342)",145
"(2658, 696345)",155
"(2658, 696346)",149
"(2658, 751408)",120
"(2658, 99023)",126
"(2658, 2665)",123
"(2658, 230879)",189
"(1115375, 2665)",40
"(1115375, 282700)",70
"(1130676, 2665)",78
"(1130676, 395540)",97
"(1130676, 630817)",120
"(1130808, 2665)",115
"(1130808, 230879)",151
"(1131607, 2665)",125
"(1131607, 230884)",130
"(1132948, 2665)",113
"(1132948, 230879)",124
"(1135899, 230884)",135
"(1135899, 751408)",150
"(1140230, 230879)",175
"(230884, 2665)",72
"(230884, 230879)",122
"(230884, 1132486)",105
"(230884, 751408)",130
"(236759, 230879)",127
"(236759, 578337)",179
"(236759, 696345)",195
"(395540, 2665)",114
"(578347, 2665)",119
"(578347, 99023)",109
"(578347, 578306)",134
"(578347, 578309)",130
"(696342, 230879)",100
"(696342, 696345)",135
"(696345, 2665)",85
"(696345, 230879)",155
"(696345, 578337)",95
"(696345, 696346)",171
"(696346, 2665)",118
"(696346, 230879)",195
"(696346, 578337)",140
"(751408, 2665)",90
"(751408, 230879)",130
"(99023, 2665)",113
"(99023, 578306)",125
"(99023, 578309)",150
"(99023, 578337)",86
"(2663, 1119671)",0
"(2663, 7047)",0
"(2665, 1105574)",0
"(2665, 1113035)",1
"(2665, 1122704)",0
"(2665, 1132486)",72
"(2665, 205192)",91
"(2665, 237489)",0
"(2665, 43639)",0
"(2665, 578306)",37
"(2665, 578309)",61
"(2665, 578337)",85
"(2665, 582139)",2
"(2665, 630817)",32
"(2665, 631052)",0
"(2665, 763009)",0
"(2665, 8581)",32
"(1105574, 5454)",98
"(1105574, 68224)",85
"(1113035, 2696)",0
"(1113035, 75695)",29
"(1122704, 325314)",0
"(1132486, 230879)",160
"(1132486, 578337)",136
"(205192, 578337)",112
"(205192, 99030)",142
"(205192, 230879)",104
"(237489, 135464)",28
"(237489, 1120059)",78
"(43639, 469504)",61
"(43639, 99025)",79
"(578306, 578365)",72
"(578309, 230879)",27
"(578309, 578365)",85
"(578337, 99030)",138
"(578337, 230879)",140
"(582139, 68224)",119
"(582139, 1128425)",125
"(582139, 1130680)",95
"(631052, 19621)",14
"(631052, 30817)",12
"(631052, 631015)",3
"(763009, 19621)",0
"(763009, 27531)",0
"(763009, 1136446)",39
"(763009, 1136447)",55
"(763009, 1136449)",57
"(2695, 1108169)",109
"(2695, 1120197)",104
"(2695, 2698)",126
"(2695, 342802)",114
"(2695, 2696)",148
"(2695, 5348)",101
"(1108169, 2696)",53
"(1108169, 124828)",0
"(1120197, 5348)",104
"(2698, 2696)",115
"(2698, 1114192)",121
"(2698, 256106)",139
"(2698, 342802)",181
"(2698, 99025)",132
"(342802, 2696)",121
"(342802, 5348)",144
"(2696, 1114192)",119
"(2696, 1118083)",158
"(2696, 1123239)",90
"(2696, 1133004)",0
"(2696, 256106)",177
"(2696, 469504)",30
"(2696, 5348)",93
"(2696, 99025)",124
"(1114192, 5348)",137
"(1114192, 256106)",160
"(1118083, 5348)",51
"(1123239, 5348)",92
"(1133004, 135464)",0
"(256106, 5348)",96
"(469504, 330208)",50
"(5348, 139547)",88
"(5348, 75695)",104
"(5348, 911198)",66
"(5348, 99025)",48
"(99025, 330208)",68
"(2702, 1120777)",93
"(2702, 12330)",127
"(2702, 395553)",76
"(2702, 72056)",0
"(1120777, 12330)",160
"(1120777, 107569)",80
"(1120777, 400356)",90
"(12330, 107569)",100
"(12330, 1152490)",110
"(12330, 1153861)",114
"(12330, 156977)",102
"(12330, 213279)",0
"(12330, 395553)",78
"(12330, 400356)",95
"(12330, 949217)",10
"(395553, 4330)",12
"(395553, 395547)",100
"(395553, 684972)",120
"(395553, 684986)",112
"(72056, 1135122)",1
"(1107171, 103528)",90
"(1107171, 103529)",65
"(1107171, 103531)",0
"(255233, 5600)",117
"(255233, 33303)",81
"(33303, 5600)",127
"(33303, 33301)",74
"(3085, 15889)",85
"(3085, 221302)",78
"(3085, 30973)",82
"(3085, 395725)",69
"(3085, 5062)",59
"(3085, 20193)",179
"(3085, 566653)",162
"(3085, 566664)",114
"(15889, 1110024)",53
"(15889, 1118388)",115
"(15889, 1152564)",0
"(15889, 15892)",55
"(15889, 175909)",150
"(15889, 221302)",130
"(221302, 175909)",70
"(30973, 20193)",76
"(395725, 12337)",4
"(395725, 16437)",12
"(395725, 20193)",38
"(395725, 1135115)",0
"(395725, 1153933)",0
"(5062, 28026)",101
"(5062, 5064)",150
"(5062, 5069)",160
"(5062, 20193)",40
"(110162, 110164)",117
"(110162, 337766)",0
"(218682, 22874)",103
"(1106236, 82666)",132
"(129045, 1108363)",87
"(129045, 1121313)",107
"(110164, 3112)",99
"(110164, 261040)",0
"(70441, 70442)",120
"(70441, 70444)",68
"(3112, 103529)",0
"(3112, 1152564)",0
"(3112, 470511)",90
"(3112, 77826)",120
"(3112, 77829)",89
